"conc","fronds_number","ros","lpo","oxphos","fv_fm","etr"
0,105,3635,2.25,9476,0.67,20.346
0,122,4380,3.36,9568,0.663,20.536
0,122,2889,2.33,10580,0.665,19.416
0.5,114,3285,2.79,7671,0.685,17.099
0.5,112,4443,2.66,7479,0.676,16.908
0.5,122,5601,2.27,8633,0.677,14.199
1,100,6124,4.35,5774,0.663,11.814
1,102,5542,3.96,5583,0.662,11.131
1,94,5833,3.29,5379,0.646,11.6
1.5,82,7110,4.92,4122,0.54,8.522
1.5,79,6633,4.68,4243,0.473,8.264
1.5,77,6157,5.14,3988,0.484,7.592
2,50,12159,4.45,3620,0.224,2.094
2,47,7341,4.9,3372,0.247,1.904
2,45,9750,5.11,4077,0.231,3.371
3,17,8636,4.94,3018,0.028,0.001
3,18,9240,3.85,3473,0.022,0.504
3,18,8032,4.43,3269,0.048,0.437
4,15,NA,NA,NA,0,0
4,12,NA,NA,NA,0.02,0
4,13,NA,NA,NA,0,0
8,12,NA,NA,NA,NA,NA
8,12,NA,NA,NA,NA,NA
8,12,NA,NA,NA,NA,NA
